year,region,indicator,value
2022,Могилевская область,Nominal_Monthly_Wage,1305.9
2023,Могилевская область,Nominal_Monthly_Wage,1564.0
2019,Республика Беларусь,Nominal_Monthly_Wage,1092.9
2020,Республика Беларусь,Nominal_Monthly_Wage,1254.6
2021,Республика Беларусь,Nominal_Monthly_Wage,1443.5
2022,Республика Беларусь,Nominal_Monthly_Wage,1633.2
2023,Республика Беларусь,Nominal_Monthly_Wage,1915.9
2019,г. Минск,Nominal_Monthly_Wage,1495.2
2020,г. Минск,Nominal_Monthly_Wage,1753.4
2021,г. Минск,Nominal_Monthly_Wage,2024.1
2022,г. Минск,Nominal_Monthly_Wage,2255.1
2023,г. Минск,Nominal_Monthly_Wage,2569.1
2019,Брестская область,Real_Wage_Index,106.3
2020,Брестская область,Real_Wage_Index,107.6
2021,Брестская область,Real_Wage_Index,104.4
2022,Брестская область,Real_Wage_Index,99.8
2023,Брестская область,Real_Wage_Index,113.6
2019,Витебская область,Real_Wage_Index,106.1
2020,Витебская область,Real_Wage_Index,108.0
2021,Витебская область,Real_Wage_Index,103.8
2022,Витебская область,Real_Wage_Index,99.2
2023,Витебская область,Real_Wage_Index,112.4
2019,Гомельская область,Real_Wage_Index,106.1
2020,Гомельская область,Real_Wage_Index,107.0
2021,Гомельская область,Real_Wage_Index,105.7
2022,Гомельская область,Real_Wage_Index,99.0
2023,Гомельская область,Real_Wage_Index,113.3
2019,Гродненская область,Real_Wage_Index,106.0
2020,Гродненская область,Real_Wage_Index,108.1
2021,Гродненская область,Real_Wage_Index,104.7
2022,Гродненская область,Real_Wage_Index,100.8
2023,Гродненская область,Real_Wage_Index,113.3
2019,Минская область,Real_Wage_Index,106.8
2020,Минская область,Real_Wage_Index,107.4
2021,Минская область,Real_Wage_Index,105.6
2022,Минская область,Real_Wage_Index,98.0
2023,Минская область,Real_Wage_Index,113.1
2019,Могилевская область,Real_Wage_Index,105.3
2020,Могилевская область,Real_Wage_Index,107.4
2021,Могилевская область,Real_Wage_Index,103.7
2022,Могилевская область,Real_Wage_Index,98.8
2023,Могилевская область,Real_Wage_Index,114.0
2019,Республика Беларусь,Real_Wage_Index,106.5
2020,Республика Беларусь,Real_Wage_Index,108.8
2021,Республика Беларусь,Real_Wage_Index,105.1
2022,Республика Беларусь,Real_Wage_Index,98.2
2023,Республика Беларусь,Real_Wage_Index,111.6
